,date,trips,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill,Strong Wind,Fog,Freezing Rain,Haze,Heavy Rain,Moderate Rain,Moderate Snow,Rain,Snow,Thunderstorms,Weekend,Holiday
0,2018-01-01 00:00:00,4,-16.2,-20.5,70.0,16.1,102.13,0.0,-22.0,0,0,0,0,0,0,0,0,0,0,0,1
1,2018-01-01 01:00:00,10,-16.8,-21.1,70.0,16.1,102.1,0.0,-20.0,0,0,0,0,0,0,0,0,0,0,0,1
2,2018-01-01 02:00:00,6,-17.3,-20.8,75.0,16.1,102.15,0.0,-26.0,0,0,0,0,0,0,0,0,0,0,0,1
3,2018-01-01 03:00:00,14,-17.9,-21.6,73.0,16.1,102.13,0.0,-24.0,0,0,0,0,0,0,0,0,0,0,0,1
4,2018-01-01 04:00:00,6,-17.2,-21.1,72.0,16.1,102.09,0.0,-21.0,0,0,0,0,0,0,0,0,0,0,0,1
5,2018-01-01 05:00:00,2,-16.1,-20.1,72.0,16.1,102.03,0.0,-20.0,0,0,0,0,0,0,0,0,0,0,0,1
6,2018-01-01 06:00:00,3,-15.7,-19.5,73.0,16.1,101.99,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
7,2018-01-01 07:00:00,5,-14.4,-17.6,77.0,16.1,101.91,0.0,-18.0,0,0,0,0,0,0,0,0,0,0,0,1
8,2018-01-01 08:00:00,4,-13.7,-16.8,78.0,16.1,101.87,0.0,-22.0,0,0,0,0,0,0,0,0,0,0,0,1
9,2018-01-01 09:00:00,6,-12.7,-16.3,75.0,16.1,101.81,0.0,-21.0,0,0,0,0,0,0,0,0,0,0,0,1
10,2018-01-01 10:00:00,7,-11.3,-16.1,68.0,16.1,101.8,0.0,-22.0,0,0,0,0,0,0,0,0,0,0,0,1
11,2018-01-01 11:00:00,13,-9.8,-14.5,69.0,16.1,101.78,0.0,-20.0,0,0,0,0,0,0,0,0,0,0,0,1
12,2018-01-01 12:00:00,22,-9.1,-14.5,65.0,16.1,101.7,0.0,-19.0,0,0,0,0,0,0,0,0,0,0,0,1
13,2018-01-01 13:00:00,19,-8.8,-14.1,66.0,16.1,101.61,0.0,-19.0,0,0,0,0,0,0,0,0,0,0,0,1
14,2018-01-01 14:00:00,15,-8.0,-13.9,63.0,16.1,101.55,0.0,-18.0,0,0,0,0,0,0,0,0,0,0,0,1
15,2018-01-01 15:00:00,17,-8.9,-12.7,74.0,4.8,101.62,0.0,-17.0,0,0,0,0,0,0,0,0,1,0,0,1
16,2018-01-01 16:00:00,28,-9.1,-17.7,50.0,16.1,101.69,0.0,-17.0,0,0,0,0,0,0,0,0,0,0,0,1
17,2018-01-01 17:00:00,15,-10.1,-17.8,54.0,16.1,101.74,0.0,-18.0,0,0,0,0,0,0,0,0,0,0,0,1
18,2018-01-01 18:00:00,10,-10.9,-17.9,57.0,16.1,101.82,0.0,-20.0,0,0,0,0,0,0,0,0,0,0,0,1
19,2018-01-01 19:00:00,15,-11.8,-18.3,59.0,16.1,101.89,0.0,-21.0,0,0,0,0,0,0,0,0,0,0,0,1
20,2018-01-01 20:00:00,10,-12.1,-18.6,59.0,16.1,101.91,0.0,-23.0,0,0,0,0,0,0,0,0,0,0,0,1
21,2018-01-01 21:00:00,4,-12.2,-17.9,63.0,16.1,101.95,0.0,-21.0,0,0,0,0,0,0,0,0,0,0,0,1
22,2018-01-01 22:00:00,6,-12.5,-17.8,65.0,16.1,101.98,0.0,-21.0,0,0,0,0,0,0,0,0,0,0,0,1
23,2018-01-01 23:00:00,5,-12.0,-17.9,62.0,16.1,101.98,0.0,-17.0,0,0,0,0,0,0,0,0,0,0,0,1
24,2018-01-02 00:00:00,3,-13.3,-17.2,73.0,16.1,101.96,0.0,-20.0,0,0,0,0,0,0,0,0,1,0,0,0
25,2018-01-02 01:00:00,1,-12.1,-15.7,75.0,16.1,101.91,0.0,-19.0,0,0,0,0,0,0,0,0,1,0,0,0
26,2018-01-02 02:00:00,2,-9.2,-12.4,78.0,16.1,101.86,0.0,-18.0,0,0,0,0,0,0,0,0,1,0,0,0
27,2018-01-02 03:00:00,1,-9.2,-12.0,80.0,6.4,101.87,0.0,-18.0,0,0,0,0,0,0,0,0,1,0,0,0
28,2018-01-02 05:00:00,8,-8.3,-11.2,80.0,3.2,101.77,0.0,-18.0,0,0,0,0,0,0,0,0,1,0,0,0
